,Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,5,10,Ct,St,Country,Type
237,BG Lister,2023-2023,3,3,26.0,0,158,4,3/69,39.50,6.07,39.0,0,0,0,0,NewZealand,bowling
238,IS Sodhi,2023-2023,13,11,96.0,2,550,13,6/39,42.30,5.72,44.3,1,0,1,0,NewZealand,bowling
239,GD Phillips,2023-2023,21,16,65.0,1,388,9,3/37,43.11,5.96,43.3,0,0,10,0,NewZealand,bowling
240,LH Ferguson,2023-2023,18,17,134.1,5,781,18,3/19,43.38,5.82,44.7,0,0,2,0,NewZealand,bowling
241,MG Bracewell,2023-2023,6,6,44.0,0,224,5,2/44,44.80,5.09,52.8,0,0,1,0,NewZealand,bowling
242,R Ravindra,2023-2023,22,18,132.1,1,800,17,4/60,47.05,6.05,46.6,0,0,6,0,NewZealand,bowling
243,BM Tickner,2023-2023,7,7,52.5,2,345,7,3/76,49.28,6.52,45.2,0,0,1,0,NewZealand,bowling
244,KA Jamieson,2023-2023,5,4,32.0,3,215,3,2/32,71.66,6.71,64.0,0,0,0,0,NewZealand,bowling
245,JDS Neesham,2023-2023,5,5,25.3,0,236,2,1/32,118.00,9.25,76.5,0,0,1,0,NewZealand,bowling
246,FH Allen,2023-2023,11,0,0.0,0,0,0,0,0,0,0,0,0,4,0,NewZealand,bowling
247,TA Blundell,2023-2023,7,0,0.0,0,0,0,0,0,0,0,0,0,7,2,NewZealand,bowling
248,CJ Bowes,2023-2023,6,0,0.0,0,0,0,0,0,0,0,0,0,4,0,NewZealand,bowling
249,MS Chapman,2023-2023,13,0,0.0,0,0,0,0,0,0,0,0,0,2,0,NewZealand,bowling
250,DP Conway,2023-2023,20,0,0.0,0,0,0,0,0,0,0,0,0,11,0,NewZealand,bowling
251,D Foxcroft,2023-2023,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,NewZealand,bowling
252,TWM Latham,2023-2023,27,0,0.0,0,0,0,0,0,0,0,0,0,25,4,NewZealand,bowling
253,HM Nicholls,2023-2023,14,0,0.0,0,0,0,0,0,0,0,0,0,4,0,NewZealand,bowling
254,KS Williamson,2023-2023,7,0,0.0,0,0,0,0,0,0,0,0,0,3,0,NewZealand,bowling
255,WA Young,2023-2023,20,0,0.0,0,0,0,0,0,0,0,0,0,6,0,NewZealand,bowling
256,Jatinder Singh,2023-2023,9,2,5.0,0,26,1,1/11,26.00,5.20,30.0,0,0,0,0,Oman,bowling
257,Bilal Khan,2023-2023,9,9,82.2,6,509,19,5/55,26.78,6.18,26.0,1,0,0,0,Oman,bowling
258,Jay Odedra,2023-2023,6,6,35.0,0,157,5,3/31,31.40,4.48,42.0,0,0,1,0,Oman,bowling
259,Fayyaz Butt,2023-2023,7,7,57.0,3,409,12,4/79,34.08,7.17,28.5,0,0,1,0,Oman,bowling
260,Zeeshan Maqsood,2023-2023,7,7,61.0,1,317,7,4/32,45.28,5.19,52.2,0,0,3,0,Oman,bowling
261,Ayaan Khan,2023-2023,9,9,58.0,1,349,7,2/46,49.85,6.01,49.7,0,0,3,0,Oman,bowling
262,Kaleemullah,2023-2023,5,5,46.0,4,232,3,1/28,77.33,5.04,92.0,0,0,3,0,Oman,bowling
263,Mohammad Nadeem,2023-2023,9,6,29.4,0,174,2,2/36,87.00,5.86,89.0,0,0,0,0,Oman,bowling
264,Aqib Ilyas,2023-2023,8,6,28.0,0,178,1,1/52,178.00,6.35,168.0,0,0,0,0,Oman,bowling
265,Naseem Khushi,2023-2023,5,0,0.0,0,0,0,0,0,0,0,0,0,4,1,Oman,bowling
266,KH Prajapati,2023-2023,9,0,0.0,0,0,0,0,0,0,0,0,0,8,0,Oman,bowling
267,Sandeep Goud,2023-2023,4,0,0.0,0,0,0,0,0,0,0,0,0,1,0,Oman,bowling
268,AA Shafique,2023-2023,2,0,0.0,0,0,0,0,0,0,0,0,0,2,2,Oman,bowling
269,Shoaib Khan,2023-2023,8,0,0.0,0,0,0,0,0,0,0,0,0,2,0,Oman,bowling
