,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,5,10,Ct,St,Type,Name,Age,Batting style,Bowling style,Role,Arm,Consolidated_Bowling_Style,BF,HS,Team 1,Team 2,Winner,Margin,Wins,Country
3765,HT Tector,17.0,5.0,22.0,0.0,143.0,1.0,1/20,143.0,6.5,132.0,0.0,0.0,9.0,0.0,bowling,,,,,,,,,,,,,,4,Ireland
3852,MJ Humphreys,2.0,2.0,11.0,0.0,95.0,0.0,0,0.0,8.63,0.0,0.0,0.0,0.0,0.0,bowling,Matthew Humphreys,21,Right-handed,Slow left arm orthodox,Spin Bowler,Left,Slow left arm,,,,,,,4,Ireland
3853,A Balbirnie,15.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,bowling,Andrew Balbirnie,32,Right-handed,Right arm off break,Batters,Right,Off break,,,,,,,4,Ireland
3854,M Commins,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,bowling,Murray Commins,26,Left-handed,Other,Batters,Other,Other,,,,,,,4,Ireland
3855,ST Doheny,9.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,bowling,,,,,,,,,,,,,,4,Ireland
3942,PR Stirling,17.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,bowling,Paul Stirling,33,Right-handed,Right arm off break,All-Rounders,Right,Off break,,,,,,,4,Ireland
3943,LJ Tucker,17.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,bowling,,,,,,,,,,,,,,4,Ireland
4030,JTS Sumerauer,5.0,5.0,49.0,5.0,245.0,11.0,4/51,22.27,5.0,26.7,0.0,0.0,1.0,0.0,bowling,Julius Sumerauer,22,Right-handed,Right arm medium,Pace Bowler,Right,Medium,,,,,,,1,Jersey
4031,CW Perchard,5.0,5.0,45.0,3.0,208.0,9.0,3/38,23.11,4.62,30.0,0.0,0.0,0.0,0.0,bowling,Charles Perchard,31,Right-handed,Right arm medium,Pace Bowler,Right,Medium,,,,,,,1,Jersey
4032,B Ward,5.0,5.0,40.1,2.0,221.0,6.0,4/39,36.83,5.5,40.1,0.0,0.0,3.0,0.0,bowling,Benjamin Ward,24,Right-handed,Right arm leg break,All-Rounders,Right,Leg break,,,,,,,1,Jersey
4033,EJB Miles,4.0,4.0,29.0,1.0,165.0,4.0,2/32,41.25,5.68,43.5,0.0,0.0,0.0,0.0,bowling,,,,,,,,,,,,,,1,Jersey
4120,D Birrell,1.0,1.0,10.0,0.0,54.0,1.0,1/54,54.0,5.4,60.0,0.0,0.0,0.0,0.0,bowling,Daniel Birrell,23,Right-handed,Right arm medium,Pace Bowler,Right,Medium,,,,,,,1,Jersey
4121,AW Hawkins-Kay,1.0,1.0,9.0,0.0,58.0,1.0,1/58,58.0,6.44,54.0,0.0,0.0,0.0,0.0,bowling,Anthony Hawkins-Kay,33,Right-handed,Right arm medium,All-Rounders,Right,Medium,,,,,,,1,Jersey
4122,HL Carlyon,5.0,4.0,30.0,2.0,141.0,2.0,2/38,70.5,4.7,90.0,0.0,0.0,0.0,0.0,bowling,Harrison Carlyon,22,Right-handed,Right arm off break,All-Rounders,Right,Off break,,,,,,,1,Jersey
4123,DG Blampied,3.0,3.0,13.0,1.0,77.0,0.0,0,0.0,5.92,0.0,0.0,0.0,0.0,0.0,bowling,Dominic Blampied,27,Right-handed,Right arm leg break,All-Rounders,Right,Leg break,,,,,,,1,Jersey
4124,AM Tribe,5.0,3.0,4.0,0.0,30.0,0.0,0,0.0,7.5,0.0,0.0,0.0,2.0,0.0,bowling,Asa Tribe,19,Right-handed,Right arm off break,Batters,Right,Off break,,,,,,,1,Jersey
4125,BDH Stevens,1.0,1.0,3.0,0.0,28.0,0.0,0,0.0,9.33,0.0,0.0,0.0,0.0,0.0,bowling,Ben Stevens,31,Left-handed,Slow left arm orthodox,All-Rounders,Left,Slow left arm,,,,,,,1,Jersey
4126,JSE Dunford,5.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,bowling,Jake Dunford,29,Right-handed,,Wicket Keeper,,,,,,,,,1,Jersey
4127,NA Greenwood,5.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,bowling,Nick Greenwood,24,Right-handed,,Batters,,,,,,,,,1,Jersey
4128,JW Jenner,5.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,bowling,,,,,,,,,,,,,,1,Jersey
4215,JAD Lawrenson,5.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,bowling,Josh Lawrenson,21,Right-handed,Right arm off break,Batters,Right,Off break,,,,,,,1,Jersey
4216,R Trumpelmann,11.0,11.0,99.0,6.0,442.0,24.0,5/30,18.41,4.46,24.7,1.0,0.0,3.0,0.0,bowling,Ruben Trumpelmann,25,Right-handed,Left arm fast medium,Pace Bowler,Left,Fast medium,,,,,,,4,Namibia
4217,T Lungameni,6.0,6.0,50.0,6.0,204.0,10.0,4/20,20.4,4.08,30.0,0.0,0.0,3.0,0.0,bowling,Tangeni Lungameni,31,Left-handed,Left arm medium,Pace Bowler,Left,Medium,,,,,,,4,Namibia
4218,S Fouche,7.0,5.0,26.0,1.0,130.0,6.0,3/46,21.66,5.0,26.0,0.0,0.0,3.0,0.0,bowling,K. S. Bharat,30,Right-handed,Other,Wicket Keeper,Other,Other,,,,,,,4,Namibia
4219,JN Loftie-Eaton,11.0,3.0,8.4,1.0,65.0,3.0,3/54,21.66,7.5,17.3,0.0,0.0,1.0,0.0,bowling,Jan Nicol Loftie-Eaton,22,Left-handed,Right arm leg break,All-Rounders,Right,Leg break,,,,,,,4,Namibia
4220,MG Erasmus,11.0,7.0,37.5,1.0,190.0,8.0,2/23,23.75,5.02,28.3,0.0,0.0,7.0,0.0,bowling,Gerhard Erasmus,28,Right-handed,Right arm off break,Batters,Right,Off break,,,,,,,4,Namibia
4221,BM Scholtz,11.0,11.0,99.0,11.0,366.0,12.0,3/67,30.5,3.69,49.5,0.0,0.0,0.0,0.0,bowling,,,,,,,,,,,,,,4,Namibia
4308,B Shikongo,10.0,10.0,67.0,4.0,420.0,13.0,3/42,32.3,6.26,30.9,0.0,0.0,1.0,0.0,bowling,Ben Shikongo,23,Right-handed,Right arm medium fast,Pace Bowler,Right,Fast medium,,,,,,,4,Namibia
4309,HN Ya France,11.0,10.0,65.1,3.0,312.0,6.0,2/27,52.0,4.78,65.1,0.0,0.0,4.0,0.0,bowling,Pikky Ya France,33,Right-handed,Right arm off break,Spin Bowler,Right,Off break,,,,,,,4,Namibia
4310,K Birkenstock,8.0,7.0,33.0,0.0,214.0,2.0,1/34,107.0,6.48,99.0,0.0,0.0,3.0,0.0,bowling,Karl Birkenstock,27,Left-handed,Right arm medium fast,All-Rounders,Right,Fast medium,,,,,,,4,Namibia
4311,M van Lingen,10.0,2.0,2.0,0.0,20.0,0.0,0,0.0,10.0,0.0,0.0,0.0,5.0,0.0,bowling,Michael van Lingen,26,Left-handed,Left arm medium,Batters,Left,Medium,,,,,,,4,Namibia
4312,N Davin,5.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,bowling,Niko Davin,25,Right-handed,Right arm leg break,Batters,Right,Leg break,,,,,,,4,Namibia
4313,MD du Preez,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,bowling,Michau du Preez,27,Right-handed,Slow left arm orthodox,Wicket Keeper,Left,Slow left arm,,,,,,,4,Namibia
4314,JN Frylinck,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bowling,,,,,,,,,,,,,,4,Namibia
4401,ZE Green,11.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,bowling,Zane Green,27,Left-handed,Slow left arm orthodox,Wicket Keeper,Left,Slow left arm,,,,,,,4,Namibia
4402,L Louwrens,6.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,bowling,Lo-handre Louwrens,24,Right-handed,Slow left arm orthodox,Wicket Keeper,Left,Slow left arm,,,,,,,4,Namibia
4403,LN Rajbanshi,12.0,12.0,95.0,7.0,347.0,18.0,5/20,19.27,3.65,31.6,1.0,0.0,5.0,0.0,bowling,Lalit Rajbanshi,,Right-handed,Slow left arm orthodox,Spin Bowler,Left,Slow left arm,,,,,,,15,Nepal
4404,S Lamichhane,21.0,21.0,195.2,9.0,948.0,43.0,5/25,22.04,4.85,27.2,1.0,0.0,1.0,0.0,bowling,Sandeep Lamichhane,,Right-handed,Right arm Leg break,Spin Bowler,Right,Leg break,,,,,,,15,Nepal
4405,K Mahato,1.0,1.0,10.0,0.0,55.0,2.0,2/55,27.5,5.5,30.0,0.0,0.0,0.0,0.0,bowling,K. S. Bharat,30,Right-handed,Other,Wicket Keeper,Other,Other,,,,,,,15,Nepal
4406,Karan KC,20.0,20.0,149.4,14.0,853.0,31.0,5/61,27.51,5.69,28.9,1.0,0.0,4.0,0.0,bowling,Karan KC,,Right-handed,Right arm fast medium,Pace Bowler,Right,Fast medium,,,,,,,15,Nepal
4407,DS Airee,21.0,21.0,139.1,9.0,567.0,17.0,3/18,33.35,4.07,49.1,0.0,0.0,15.0,0.0,bowling,Dipendra Singh Airee,,Right-handed,Right arm off break,All-Rounders,Right,Off break,,,,,,,15,Nepal
